timestamp_s,teamA_hull_area,teamA_avg_nearest_opp,teamB_hull_area,teamB_avg_nearest_opp
300.0,400504.0,94.82929363015516,434102.0,149.39027268846039
305.0,501550.0,192.79757833177365,385249.5,106.87706114445814
310.0,435398.5,162.78409723015181,356184.0,96.43736442175289
315.0,74065.5,110.69507385058459,245678.5,281.80125367018684
325.0,260661.0,218.75459116766905,283764.5,143.86494536250723
330.0,128239.0,169.96774596822104,342957.5,190.53649133878534
355.0,114768.0,73.0001864883395,162020.5,133.3255963041787
360.0,209034.5,115.66854782545421,215667.5,86.1125501769949
365.0,358465.5,110.29141208430002,575116.5,119.70915531350482
370.0,203668.0,131.88241290130176,370685.0,258.0266051914196
375.0,280317.5,265.00954021362844,103986.0,181.7650807635282
400.0,110992.5,573.929010946056,1134.0,297.4442386503378
405.0,214137.0,148.3225955425075,192543.0,114.05013576337257
410.0,144595.0,114.85199647528722,79406.0,116.099963021668
415.0,174929.5,302.8115200575607,120.0,97.4404027887502
460.0,71455.0,239.3610304789976,0.0,231.88316396280496
500.0,445975.5,156.12787831701408,209387.0,144.8360428489684
505.0,267688.0,125.57629275072122,522184.5,148.15956611209972
510.0,252962.5,100.06868014794557,305512.0,176.76163104255357
515.0,283897.0,140.27045820216767,330741.5,147.02922078739243
520.0,354981.0,145.79659013762023,209628.0,131.63007191355973
525.0,325975.5,193.7991683231531,132792.0,212.97124267661593
530.0,310425.0,390.1632297142651,123547.0,123.5010819718372
535.0,151151.5,124.33758958928642,459157.0,186.78703580692655
540.0,285250.0,205.7551929089223,390184.5,228.41729568343402
545.0,136595.0,152.92004795438723,191847.5,151.38233813734814
550.0,139037.5,126.91980061373998,40440.5,67.49408178587171
555.0,130616.0,169.4225251961819,109226.0,182.03254384645112
560.0,44959.5,60.37519755757995,199535.0,164.3493600145717
585.0,237890.5,156.7779069256368,200911.5,124.35233120385986
590.0,58393.5,56.59667980382235,92390.0,70.01929273261345
595.0,338509.0,113.62206352787626,523757.5,150.81820715801962
